,field_name,form_name,field_type,field_label,parent,branching_logic
1620,lesion_palm_num,daily,freetext,Number of palm lesions,lesion,[lesion_palm]='1'
1621,lesion_sole,daily,binary,Are there any lesions on the soles?,lesion,[lesion_skinles]='1'
1622,lesion_sole_type,daily,checkbox,Type of sole lesions,lesion,[lesion_sole]='1'
1623,lesion_sole_type___Vesicle,daily,binary,Vesicle,lesion_sole_type,[lesion_sole]='1'
1624,lesion_sole_type___Pustule,daily,binary,Pustule,lesion_sole_type,[lesion_sole]='1'
1625,lesion_sole_type___Ulcerated lesions,daily,binary,Ulcerated lesions,lesion_sole_type,[lesion_sole]='1'
1626,lesion_sole_type___Necrotising lesions,daily,binary,Necrotising lesions,lesion_sole_type,[lesion_sole]='1'
1627,lesion_sole_type___Fungating lesions,daily,binary,Fungating lesions,lesion_sole_type,[lesion_sole]='1'
1628,lesion_sole_type___Haemorrhagic lesions,daily,binary,Haemorrhagic lesions,lesion_sole_type,[lesion_sole]='1'
1629,lesion_sole_type___Other,daily,binary,Other,lesion_sole_type,[lesion_sole]='1'
1630,lesion_sole_oth,daily,freetext,If other: Specify other type of sole lesions,lesion,[lesion_sole_type(88)]='1'
1631,lesion_sole_num,daily,freetext,Number of sole lesions,lesion,[lesion_sole]='1'
1632,lesion_genit,daily,binary,Are there any lesions on the external genitalia?,lesion,[lesion_skinles]='1'
1633,lesion_genit_type,daily,checkbox,Type of external genitalia lesions,lesion,[lesion_genit]='1'
1634,lesion_genit_type___Vesicle,daily,binary,Vesicle,lesion_genit_type,[lesion_genit]='1'
1635,lesion_genit_type___Pustule,daily,binary,Pustule,lesion_genit_type,[lesion_genit]='1'
1636,lesion_genit_type___Ulcerated lesions,daily,binary,Ulcerated lesions,lesion_genit_type,[lesion_genit]='1'
1637,lesion_genit_type___Necrotising lesions,daily,binary,Necrotising lesions,lesion_genit_type,[lesion_genit]='1'
1638,lesion_genit_type___Fungating lesions,daily,binary,Fungating lesions,lesion_genit_type,[lesion_genit]='1'
1639,lesion_genit_type___Haemorrhagic lesions,daily,binary,Haemorrhagic lesions,lesion_genit_type,[lesion_genit]='1'
1640,lesion_genit_type___Other,daily,binary,Other,lesion_genit_type,[lesion_genit]='1'
1641,lesion_genit_type_oth,daily,freetext,If other: Specify other type of external genitalia lesions,lesion,[lesion_genit_type(88)]='1'
1642,lesion_genit_num,daily,freetext,Number of external genitalia lesions,lesion,[lesion_genit]='1'
1643,lesion_peri,daily,binary,Are there any perianal lesions?,lesion,[lesion_skinles]='1'
1644,lesion_peri_type,daily,checkbox,Type of perianal lesions,lesion,[lesion_peri]='1'
1645,lesion_peri_type___Vesicle,daily,binary,Vesicle,lesion_peri_type,[lesion_peri]='1'
1646,lesion_peri_type___Pustule,daily,binary,Pustule,lesion_peri_type,[lesion_peri]='1'
1647,lesion_peri_type___Ulcerated lesions,daily,binary,Ulcerated lesions,lesion_peri_type,[lesion_peri]='1'
1648,lesion_peri_type___Necrotising lesions,daily,binary,Necrotising lesions,lesion_peri_type,[lesion_peri]='1'
1649,lesion_peri_type___Fungating lesions,daily,binary,Fungating lesions,lesion_peri_type,[lesion_peri]='1'
1650,lesion_peri_type___Haemorrhagic lesions,daily,binary,Haemorrhagic lesions,lesion_peri_type,[lesion_peri]='1'
1651,lesion_peri_type___Other,daily,binary,Other,lesion_peri_type,[lesion_peri]='1'
1652,lesion_peri_type_oth,daily,freetext,Specify other type of perianal lesions,lesion,[lesion_peri_type(88)]='1'
1653,lesion_peri_num,daily,freetext,Number of perianal lesions,lesion,[lesion_peri]='1'
1654,lesion_mouth,daily,binary,Are there any lesions inside the mouth?,lesion,[lesion_mucos]='1'
